region,group,lawd_cd,currency,airbnb_adr,occupancy,cleaning_fee,platform_fee,purchase_price,monthly_rent,deposit,source,survey_date
제주,전국 도시,50110,KRW,111542,0.55,15000,0.1,124608922.0,642505.0,6160084.0,airbtics 2025-2026 제주,2026-02
부산,전국 도시,26350,KRW,96394,0.65,20000,0.1,289002669.0,669574.0,15230872.0,airbtics 2025-2026 해운대구,2026-02
인천,전국 도시,28110,KRW,77115,0.43,20000,0.1,114144677.0,508674.0,12483060.0,airbtics 2025-2026 중구,2026-02
강릉,전국 도시,51150,KRW,118428,0.48,15000,0.1,80115789.0,491800.0,5795000.0,airbtics 2025-2026 강릉,2026-02
경주,전국 도시,47130,KRW,130821,0.45,15000,0.1,86426603.0,587872.0,9117021.0,airbtics 2025-2026 경주,2026-02
여수,전국 도시,46130,KRW,95017,0.35,15000,0.1,254857500.0,689848.0,13530303.0,airbtics 2025-2026 여수,2026-02
속초,전국 도시,51210,KRW,96394,0.4,15000,0.1,72269230.0,376000.0,5720000.0,airbtics 2025-2026 속초,2026-02
대구,전국 도시,27110,KRW,71607,0.51,20000,0.1,118427051.0,579164.0,12478019.0,airbtics 2025-2026 중구,2026-02
거제,전국 도시,48310,KRW,128067,0.32,15000,0.1,36711764.0,425108.0,4031250.0,airbtics 2025-2026 거제,2026-02
대전,전국 도시,30200,KRW,72984,0.56,20000,0.1,179287963.0,589425.0,31260287.0,airbtics 2025-2026 유성구,2026-02
홍대,서울 구,11440,KRW,117050,0.85,20000,0.1,302991786.0,764406.0,42671814.0,airbtics 2025-2026 마포구,2026-02
종로명동,서울 구,11140,KRW,123936,0.83,20000,0.1,328672645.0,949029.0,51819002.0,airbtics 2025-2026 중구,2026-02
강남,서울 구,11680,KRW,99149,0.72,25000,0.1,338517494.0,924560.0,64270370.0,airbtics 2025-2026 강남구,2026-02
